sp	ENGLISH	CHINESE	JAPAN	SPANISH	SWAHILI	DANISH	THAI	INDONESIA	VIETNAM	PORTOGUESE	KOREA	BURMESE
L_12	All Win Leftmost to Right Only except  <sprite name="GP_Base_SymbolAll_1">. All Wins Show For 1 credit bet	除了  <sprite name="GP_Base_SymbolAll_1">.以外，所有标志必须由最左至右连续出现，方可获得派彩。所有派彩以一投注分显示。	<sprite name="GP_Base_SymbolAll_2"> を除くすべての勝利は左端から右方向のみに行われます。 すべての勝利はベット 1 倍の乗数で表示されます。	Todas las ganancias se muestran de izquierda a derecha, excepto <sprite name="GP_Base_SymbolAll_2">. Todas las ganancias se muestran para el multiplicador Betx 1.	Zote Zinashinda Kushoto kwenda Kulia Pekee isipokuwa <sprite name="GP_Base_SymbolAll_2">. Maonyesho Yote ya Ushindi kwa Kizidishi cha Betx 1	Alle vinder kun fra venstre mod højre undtagen <sprite name="GP_Base_SymbolAll_2">. Alle gevinster vises for Betx 1 multiplikator	ชนะทั้งหมดจากซ้ายไปขวาเท่านั้น ยกเว้น <sprite name="GP_Base_SymbolAll_2">. การชนะทั้งหมดแสดงสำหรับตัวคูณ Betx 1	Semua Kemenangan Hanya dari Kiri ke Kanan kecuali <sprite name="GP_Base_SymbolAll_2">. Semua Kemenangan Ditampilkan Untuk Pengganda Betx 1	Tất cả chiến thắng từ trái sang phải chỉ trừ <sprite name="GP_Base_SymbolAll_2">. Tất cả chiến thắng hiển thị cho Betx 1 Multiplier	Apostar	<sprite name="GP_Base_SymbolAll_2">를 제외한 모든 승리는 왼쪽에서 오른쪽으로만 표시됩니다. BETX 1 배수에 대한 모든 승리 표시	<sprite name="GP_Base_SymbolAll_2">မှလွဲ၍ ကျန်အားလုံးသည် ဘယ်မှညာသို့သာ အနိုင်ရသည်။ Betx 1 အမြှောက်အတွက် Wins Show
L_13	free game pays	免费游戏奖赏	フリースピンボーナス	Bono de giros gratis	Bure Spin Bonus	Gratis spin bonus	โบนัสหมุนฟรี	Bonus Putaran Gratis	Tiền thưởng vòng quay miễn phí	Bônus de Rodada Grátis	무료 스핀 보너스	အခမဲ့လှည့်ခြင်းအပိုဆု
L_14	Any	任何	どれでも	Cualquier	Yoyote	Enhver	ใดๆ	Setiap	Bất kì	Qualquer	어느	တစ်ခုခု
L_15	Credits Times The Bet And Only Appears on Reel 1,2 and 3.	得分乘以投注  且只出现在第1、2及3转轮。	クレジットはベット額の倍数で、リール1、2、3にのみ表示されます。	Créditos multiplicados por la apuesta y solo aparecen en los carretes 1, 2 y 3.	Credits Mara Dau Na Pekee Inaonekana kwenye Reel 1, 2 na 3.	Credits gange indsatsen og kun Vises på hjul 1,2 og 3.	เครดิต คูณ 1 และเฉพาะ ปรากฏในรีล 1, 2 และ 3	Kredit Dikalikan Taruhan Dan Hanya Muncul di Reel 1, 2 dan 3.	Điểm tín dụng lần cược và chỉ Xuất hiện trên cuộn 1, 2 và 3.	Créditos vezes a aposta e somente Aparece nos rolos 1, 2 e 3.	크레딧 타임스 더 베트 앤 온리 릴 1, 2, 3에 등장합니다.	Times The Bet And Only အား ခရက်ဒစ်ပေးသည်။ Reel 1,2 နှင့် 3 တွင် ပေါ်လာသည်။
L_16	scatter pay	分散奖赏	散発的な支払い	pago disperso	kutawanya malipo	sprede løn	การจ่ายเงินแบบกระจัดกระจาย	gaji tersebar	rải rác trả tiền	Confirmar	분산 급여	ဖြန့်ကြဲပေးရမယ်။
L_17	Credits Times The Bet .	得分乘以投注。	クレジット×賭け金。	Créditos Veces La Apuesta .	Mikopo Times The Bet .	Credits Times The Bet .	เครดิต ไทม์ส The Bet .	Kredit Kali Taruhan .	Tín dụng lần cược.	Créditos vezes a aposta.	크레딧 타임스 더 베트 .	Times The Bet အား ခရက်ဒစ်ပေးသည်။
L_18	Wild	百搭	野生	Salvaje	Pori	Vild	ป่า	Liar	Hoang dã	Selvagem	야생의	တောသား
L_19	Substitute for all symbols except  <sprite name="GP_Base_SymbolAll_1"> AND ONLY APPEARS IN REELs 2, 3, 4 AND 5.	可代替所有标志，除了<sprite name="GP_Base_SymbolAll_1"> 以外，且只出现在第2、3、4及5转 轮。	<sprite name="GP_Base_SymbolAll_2"> と <sprite name="GP_Base_SymbolAll_1"> を除くすべてのシンボルの代わりになります。リール 2、3、4、5 にのみ表示されます。	Sustituye a todos los símbolos excepto <sprite name="GP_Base_SymbolAll_2"> y <sprite name="GP_Base_SymbolAll_1">. Y SOLO APARECE EN LOS CARRETES 2, 3, 4 Y 5.	Badala ya alama zote isipokuwa <sprite name="GP_Base_SymbolAll_2"> na <sprite name="GP_Base_SymbolAll_1"> .NA INAONEKANA TU KATIKA REEL 2,3,4 NA 5.	Erstater alle symboler undtagen <sprite name="GP_Base_SymbolAll_2"> og <sprite name="GP_Base_SymbolAll_1"> . OG VISES KUN PÅ HJUL 2,3,4 OG 5.	แทนที่สัญลักษณ์ทั้งหมด ยกเว้น <sprite name="GP_Base_SymbolAll_2"> และ <sprite name="GP_Base_SymbolAll_1"> และปรากฏในรีล 2, 3, 4 และ 5 เท่านั้น	Menggantikan semua simbol kecuali <sprite name="GP_Base_SymbolAll_2"> dan <sprite name="GP_Base_SymbolAll_1">. DAN HANYA MUNCUL DI GULUNGAN 2,3,4 DAN 5.	Thay thế cho tất cả các ký hiệu ngoại trừ <sprite name="GP_Base_SymbolAll_2"> và <sprite name="GP_Base_SymbolAll_1"> .VÀ CHỈ XUẤT HIỆN Ở CUỘN 2,3,4 VÀ 5.	Substitui todos os símbolos, exceto <sprite name="GP_Base_SymbolAll_2"> e <sprite name="GP_Base_SymbolAll_1">. E APARECE SOMENTE NOS ROLOS 2, 3, 4 E 5.	<sprite name="GP_Base_SymbolAll_2">와 <sprite name="GP_Base_SymbolAll_1">을 제외한 모든 심볼을 대체합니다. 릴 2, 3, 4, 5에만 나타납니다.	<sprite name="GP_Base_SymbolAll_2"> နှင့် <sprite name="GP_Base_SymbolAll_1"> မှလွဲ၍ သင်္ကေတအားလုံးအတွက် အစားထိုးပါ။AND REEL 2,3,4 နှင့် 5 တွင်သာ ပေါ်လာသည်။
L_20	3 <sprite name="GP_Base_SymbolAll_1"> Appearing anywhere on the reels 1, 2 and 3 initiates free spin bonus with <color="yellow"> 15 free spins</color>.\nfor each of the first 15 free spins, <color="yellow">an extra <sprite name="GP_Base_SymbolAll_0"> is added to reels 2,3,4 and 5</color>.\nADDITIONAL 10 FREE SPINS MAY BE AWARDED WITH 3 <sprite name="GP_Base_SymbolAll_1"> DURING THE FREE SPIN BONUS\nto a maximum  OF <color="yellow">25 FREE SPINS.	3 <sprite name="GP_Base_SymbolAll_1">出现于第1、2及3转轮的任何位置时，即可触发免费游戏奖赏，获得<color="yellow"> 15场免费游戏</color>.\n在前15场免费游戏中 <color="yellow">第2、3、4及5转轮上会加上1个额外的<sprite name="GP_Base_SymbolAll_0"></color>.\n在免费游戏奖赏中，3 <sprite name="GP_Base_SymbolAll_1">出现时可再次赢得额外10场免费游戏，最多可达 <color="yellow">25次。	3 <sprite name="GP_Base_SymbolAll_2"> がリール1、2、3のどこかに出現すると、<color="yellow">10回のフリースピン</color>のフリースピンボーナスが開始されます。フリースピンボーナス中は、すべてのマスクが同じマスクに変化した後、勝利の組み合わせが発生する場合があります。 まず、スピンが停止すると、リール上のすべての勝利が授与されます。 次に、リール上に表示されるすべてのマスクがランダムに <sprite name="GP_Base_SymbolAll_15"> <sprite name="GP_Base_SymbolAll_16"> <sprite name="GP_Base_SymbolAll_17"> <sprite name="GP_Base_SymbolAll_18"> および <sprite name="GP_Base_SymbolAll_19"> のいずれかに変更されます。マスクが同じになった後に勝利の組み合わせが発生した場合、リール上の変更されたマスクのすべての勝利が授与され、勝利メーターに追加されます。フリースピンボーナス中に3つの<sprite name="GP_Base_SymbolAll_2">が出現すると、さらに10回のフリースピンが付与されます。 最大<color="yellow">150回のフリースピンとなります。	3 <sprite name="GP_Base_SymbolAll_2"> Al aparecer en cualquier lugar de los rodillos 1, 2 y 3, se activa la bonificación de giros gratis con <color="yellow">10 giros gratis</color>. DURANTE LA BONIFICACIÓN DE GIROS GRATIS, LAS MÁSCARAS PUEDEN FORMAR COMBINACIONES GANADORAS DESPUÉS DE QUE TODAS LAS MÁSCARAS CAMBIEN A LA MISMA MÁSCARA. PRIMERO, TODAS LAS GANANCIAS EN LOS RODILLOS SE OTORGAN AL DETENER EL GIRO. EN SEGUNDO LUGAR, TODAS LAS MÁSCARAS QUE APARECERAN EN LOS CARRETES SE CAMBIARÁN ALEATORIAMENTE A UNA DE LAS SIGUIENTES: <sprite name="GP_Base_SymbolAll_15"> <sprite name="GP_Base_SymbolAll_16"> <sprite name="GP_Base_SymbolAll_17"> <sprite name="GP_Base_SymbolAll_18"> Y <sprite name="GP_Base_SymbolAll_19"> . SI SE PRODUCE ALGUNA COMBINACIÓN GANADORA DESPUÉS DE QUE LAS MÁSCARAS SE IGUALEN, TODAS LAS GANANCIAS DE LAS MÁSCARAS CAMBIADAS EN LOS CARRETES SE OTORGARÁN Y SE AÑADIRÁN AL MEDIDOR DE GANANCIAS. SE PUEDEN OTORGAR 10 GIROS GRATIS ADICIONALES CON 3 <sprite name="GP_Base_SymbolAll_2"> DURANTE LA BONIFICACIÓN DE GIROS GRATIS hasta un máximo de <color="yellow">150 GIROS GRATIS.	3 <sprite name="GP_Base_SymbolAll_2">Kuonekana popote kwenye reli 1, 2 na 3 huanzisha bonasi ya spin bila malipo kwa <color="yellow"> spin 10 bila malipo</color>. WAKATI WA BONASI YA MICHUZI BILA MALIPO, MASIKI HUENDA IKATOKEA MCHANGANYIKO WA USHINDI BAADA YA MASIKI ZOTE KUBADILIKA KUWA MASK ILEILE. KWANZA, USHINDI ZOTE KWENYE REELS HUTOLEWA KADRI SPIN INAPOSIMAMA. PILI, MASIKI ZOTE ZINAZOTENGENEZA KWENYE REELS ZITABADILISHWA KWA NAFASI KUWA MOJA YA <sprite name="GP_Base_SymbolAll_15"> <sprite name="GP_Base_SymbolAll_16"> <sprite name="GP_Base_SymbolAll_17"> <sprite_NAME_1> <sprite_NAME => <sprite_1> <sprite_1_1> name="GP_Base_SymbolAll_19"> . IKIWA MCHANGANYIKO WOWOTE WA USHINDI UTATOKEA BAADA YA MASK KUWA SAWA. KISHA WASHINDI WOTE WA MASKS ILIYOBADILISHWA KWENYE REELS HUTUNWA NA KUONGEZWA KWA MITA YA USHINDI. ZIADA 10 ZA NYONGEZA ZA ZIADA HUENDA KUZAWADIWA KWA <sprite name="GP_Base_SymbolAll_2"> 3 WAKATI WA BONASI YA SPIN BILA MALIPO. hadi upeo WA <color="yellow">150 MPISHI BURE.	3 <sprite name="GP_Base_SymbolAll_2"> Optræder hvor som helst på hjulene 1, 2 og 3 starter gratis spin-bonus med <color="yellow"> 10 gratis spins</color>. UNDER DEN GRATIS SPIN-BONUS KAN MASKERNE OPSTÅ VINDERENDE KOMBINATIONER EFTER ALLE MASKERNE SKIFTES TIL SAMME MASK. FØRST TILDELES ALLE GEvinster PÅ HJUL, NÅR SPINNINGET STOPPER. FOR ANDET SKAL ALLE DE UDSEENDE MASKER PÅ HJULLER TILFÆLDIGT ÆNDRES TIL EN AF <sprite name="GP_Base_SymbolAll_15"> <sprite name="GP_Base_SymbolAll_16"> <sprite name="GP_Base_SymbolAll_17"> <sprite name="ANDGP_Base" name="GP_Base_SymbolAll_19"> . HVIS NOGEN VINDENDE KOMBINATION OPSTÅR EFTER MASKEN BLIVER DET SAMME. SÅ UDDELES ALLE GEVINST AF DE ÆNDREDE MASKER PÅ HJULLE OG FØJES TIL VINDERMETERET. YDERLIGERE 10 GRATIS SPINS KAN TILDELES MED 3 <sprite name="GP_Base_SymbolAll_2"> UNDER DEN GRATIS SPIN BONUS til et maksimum AF <color="yellow">150 GRATIS SPINS.	3 <sprite name="GP_Base_SymbolAll_2"> ปรากฏที่ใดก็ได้บนรีล 1, 2 และ 3 โบนัสฟรีสปินจะเริ่มด้วย <color="yellow"> ฟรีสปิน 10 ครั้ง</color> ระหว่างโบนัสฟรีสปิน หน้ากากอาจเกิดขึ้นเป็นชุดที่ชนะหลังจากหน้ากากทั้งหมดเปลี่ยนเป็นหน้ากากเดียวกัน ประการแรก รางวัลทั้งหมดบนรีลจะได้รับรางวัลเมื่อสปินหยุดลง ประการที่สอง หน้ากากที่ปรากฏบนรีลทั้งหมดจะถูกสุ่มเปลี่ยนเป็น <sprite name="GP_Base_SymbolAll_15"> <sprite name="GP_Base_SymbolAll_16"> <sprite name="GP_Base_SymbolAll_17"> <sprite name="GP_Base_SymbolAll_18"> และ <sprite name="GP_Base_SymbolAll_19"> หากมีการชนะชุดใดชุดหนึ่งเกิดขึ้นหลังจากหน้ากากกลายเป็นชุดเดียวกัน การชนะทั้งหมดของหน้ากากที่เปลี่ยนแปลงบนรีลจะได้รับรางวัลและเพิ่มเข้าในมาตรวัดการชนะ อาจได้รับรางวัลฟรีสปินเพิ่มเติมอีก 10 ครั้ง พร้อมกับ 3 <sprite name="GP_Base_SymbolAll_2"> ระหว่างโบนัสฟรีสปิน สูงสุด <color="yellow">150 ฟรีสปิน	3 <sprite name="GP_Base_SymbolAll_2"> Muncul di mana saja pada gulungan 1, 2, dan 3 memulai bonus putaran gratis dengan <color="yellow"> 10 putaran gratis</color>. SELAMA BONUS PUTARAN GRATIS, TOPENG DAPAT MENJADI KOMBINASI KEMENANGAN SETELAH SEMUA TOPENG BERUBAH MENJADI TOPENG YANG SAMA. PERTAMA, SEMUA KEMENANGAN PADA GULUNGAN DIBERIKAN SAAT PUTARAN BERHENTI. KEDUA, SEMUA TOPENG YANG MUNCUL DI REEL AKAN SECARA ACAK DIUBAH MENJADI SALAH SATU DARI <sprite name="GP_Base_SymbolAll_15"> <sprite name="GP_Base_SymbolAll_16"> <sprite name="GP_Base_SymbolAll_17"> <sprite name="GP_Base_SymbolAll_18">DAN <sprite name="GP_Base_SymbolAll_19"> . JIKA ADA KOMBINASI KEMENANGAN YANG TERJADI SETELAH TOPENG MENJADI SAMA. MAKA SEMUA KEMENANGAN DARI TOPENG YANG DIUBAH DI REEL AKAN DIBERIKAN DAN DITAMBAHKAN KE PENGUKUR KEMENANGAN. 10 PUTARAN GRATIS TAMBAHAN DAPAT DIBERIKAN DENGAN 3 <sprite name="GP_Base_SymbolAll_2"> SELAMA BONUS PUTARAN GRATIS hingga maksimum <color="yellow">150 PUTARAN GRATIS.	3 <sprite name="GP_Base_SymbolAll_2"> Xuất hiện ở bất kỳ vị trí nào trên guồng 1, 2 và 3 sẽ khởi tạo phần thưởng quay miễn phí với <color="yellow"> 10 vòng quay miễn phí</color>. TRONG KHI THƯỞNG QUAY MIỄN PHÍ, MẶT NẠ CÓ THỂ XẢY RA CÁC KẾT HỢP CHIẾN THẮNG SAU KHI TẤT CẢ MẶT NẠ ĐỔI THÀNH MỘT MẶT NẠ. ĐẦU TIÊN, TẤT CẢ CÁC CHIẾN THẮNG TRÊN GÓI ĐỀU ĐƯỢC TRAO THƯỞNG KHI QUAY DỪNG LẠI. THỨ HAI, TẤT CẢ CÁC MẶT NẠ XUẤT HIỆN TRÊN CUỘN SẼ ĐƯỢC THAY ĐỔI NGẪU NHIÊN THÀNH MỘT TRONG SỐ <sprite name="GP_Base_SymbolAll_15"> <sprite name="GP_Base_SymbolAll_16"> <sprite name="GP_Base_SymbolAll_17"> <sprite name="GP_Base_SymbolAll_18"> VÀ <sprite name="GP_Base_SymbolAll_19"> . NẾU BẤT KỲ TỔ HỢP CHIẾN THẮNG NÀO XẢY RA SAU KHI MẶT NẠ TRỞ NÊN GIỐNG NHAU. THÌ TẤT CẢ CÁC CHIẾN THẮNG CỦA CÁC MẶT NẠ ĐÃ THAY ĐỔI TRÊN CUỘN SẼ ĐƯỢC TRAO THƯỞNG VÀ ĐƯỢC THÊM VÀO ĐO LƯỜNG CHIẾN THẮNG.  CÓ THỂ ĐƯỢC TẶNG THÊM 10 VÒNG QUAY MIỄN PHÍ VỚI 3 <sprite name="GP_Base_SymbolAll_2"> TRONG THỜI GIAN THƯỞNG VÒNG QUAY MIỄN PHÍ tối đa là <color="yellow">150 VÒNG QUAY MIỄN PHÍ.	3 <sprite name="GP_Base_SymbolAll_2"> Aparecer em qualquer lugar nos rolos 1, 2 e 3 inicia um bônus de giros grátis com <color="yellow"> 10 giros grátis</color>. DURANTE O BÔNUS DE GIRO GRÁTIS, AS MÁSCARAS PODEM OCORRER COMBINAÇÕES VENCEDORAS APÓS TODAS AS MÁSCARAS TROCAREM PARA A MESMA MÁSCARA. PRIMEIRAMENTE, TODOS OS PRÊMIOS NOS ROLOS SÃO CONCEDIDOS QUANDO O GIRO TERMINA. EM SEGUNDO LUGAR, TODAS AS MÁSCARAS QUE APARECEREM NOS ROLOS SERÃO ALEATÓRIAMENTE ALTERADAS PARA UMA DE <sprite name="GP_Base_SymbolAll_15"> <sprite name="GP_Base_SymbolAll_16"> <sprite name="GP_Base_SymbolAll_17"> <sprite name="GP_Base_SymbolAll_18">E <sprite name="GP_Base_SymbolAll_19">. SE QUALQUER COMBINAÇÃO VENCEDORA OCORRER APÓS AS MÁSCARAS SEREM IGUALITAS, TODOS OS PRÊMIOS DAS MÁSCARAS ALTERADAS NOS ROLOS SERÃO CONCEDIDOS E ADICIONADOS AO MEDIDOR DE VITÓRIAS. 10 RODADAS GRÁTIS ADICIONAIS PODEM SER CONCEDIDAS COM 3 <sprite name="GP_Base_SymbolAll_2"> DURANTE O BÔNUS DE RODADAS GRÁTIS até um máximo de <color="yellow">150 RODADAS GRÁTIS.	3 <sprite name="GP_Base_SymbolAll_2"> 릴 1, 2, 3 어디에나 나타나면 <color="yellow">10번의 무료 스핀</color>이 포함된 무료 스핀 보너스가 시작됩니다. 무료 스핀 보너스 기간 동안 모든 마스크가 동일한 마스크로 바뀐 후, 마스크 조합 당첨이 발생할 수 있습니다. 먼저, 스핀이 멈추면 릴의 모든 당첨금이 지급됩니다. 둘째, 릴에 나타나는 모든 마스크는 <sprite name="GP_Base_SymbolAll_15"> <sprite name="GP_Base_SymbolAll_16"> <sprite name="GP_Base_SymbolAll_17"> <sprite name="GP_Base_SymbolAll_18">그리고 <sprite name="GP_Base_SymbolAll_19"> 중 하나로 무작위로 변경됩니다. 마스크가 동일한 조합으로 변경된 후 당첨 조합이 발생하는 경우, 변경된 마스크의 모든 당첨금이 지급되고 당첨금에 추가됩니다. 무료 스핀 보너스 기간 동안 <sprite name="GP_Base_SymbolAll_2"> 3개를 사용하면 10번의 무료 스핀을 추가로 받을 수 있으며, 최대 <color="yellow">150번의 무료 스핀까지 받을 수 있습니다.	3 <sprite name="GP_Base_SymbolAll_2"> ရစ်ပတ် 1၊ 2 နှင့် 3 တွင် မည်သည့်နေရာတွင်မဆို ပေါ်လာခြင်းသည် <color="yellow"> 10 အခမဲ့လှည့်ခြင်း</color> ဖြင့် အခမဲ့လှည့်ခြင်းဘောနပ်စ်ကို စတင်စေသည်။ အခမဲ့ လှည့်ခြင်း ဘောနပ်စ် ကာလအတွင်း၊ မျက်နှာဖုံးများ အားလုံးကို တူညီသော မျက်နှာဖုံးသို့ ပြောင်းလဲပြီးနောက် ပေါင်းစပ်မှုများ အောင်ပွဲခံမှုများ ဖြစ်ပေါ်နိုင်သည်။ ပထမဦးစွာ၊ REELS တွင်အနိုင်ရသူအားလုံးကိုလှည့်ခြင်းရပ်တန့်သည်နှင့်အမျှချီးမြှင့်သည်။ ဒုတိယအနေနှင့်၊ REELS တွင်ပေါ်လာသောမျက်နှာဖုံးများအားလုံးကို <sprite name="GP_Base_SymbolAll_15" > <sprite name="GP_Base_SymbolAll_16" > <sprite name="GP_Base_7SymbolA"> <sprite name="GP_Base_7SymbolA"> name="GP_Base_SymbolAll_18">AND <sprite name="GP_Base_SymbolAll_19">။ Mask ပြီးနောက် ပေါင်းစပ်အနိုင်ရရှိမှု တစ်စုံတစ်ရာ ဖြစ်ပေါ်လာပါက တူညီပါသည်။ ထို့နောက် REELS တွင် ပြောင်းလဲထားသော Mask များ၏ အနိုင်ရသူအားလုံးကို ဆုချီးမြှင့်ပြီး Win meter တွင် ပေါင်းထည့်သည်။ <sprite name="GP_Base_SymbolAll_2"> အခမဲ့ လှည့်ခြင်းဘောနပ်စ် ကာလအတွင်း 3 < sprite name="GP_Base_SymbolAll_2"> အခမဲ့ လှည့်ခြင်း အပိုဆု 10 ခု ချီးမြှင့်နိုင်သည် အများဆုံး <color="yellow">150 အခမဲ့ စပယ်များအထိ။
L_21	payline	线路规则	1024ウェイ	1024 vías	1024 njia	1024 vej	1024ทาง	1024 jalan	1024 cách	1024way	1024웨이	၁၀၂၄ လမ်း
L_22	PRESS SPIN BUTTON TO START THE FREE SPIN BONUS AND PLAY AUTOMATICALLY UNTIL ALL FREE SPINS ARE COMPLETED. DURING FREE SPINS THE BET X REMAINS THE SAME AS THE SPIN THAT TRIGGERED THE BONUS.	按下开始游戏按钮以开始免费游戏并自动进行游戏直到免费游戏结束。在免费游戏中，投注倍数与触发免费游戏奖赏时相同。										
在免费游戏中,投注倍数与触发免费游戏奖赏时相同。	スピンボタンを押すとフリースピンボーナスが開始され、すべてのフリースピンが完了するまで自動的にプレイされます。フリースピン中は、ベットXはボーナスをトリガーしたスピンと同じままです。	PRESIONE EL BOTÓN GIRAR PARA INICIAR LA BONIFICACIÓN DE GIROS GRATIS Y JUGAR AUTOMÁTICAMENTE HASTA COMPLETAR TODOS LOS GIROS GRATIS. DURANTE LOS GIROS GRATIS, LA APUESTA X PERMANECE IGUAL QUE LA DEL GIRO QUE ACTIVÓ LA BONIFICACIÓN.	BONYEZA KITUFE CHA SPIN ILI KUANZA BONASI YA SPIN BILA MALIPO NA CHEZA MOTOMATIKI MPAKA PINDI ZOTE ZA BILA MALIPO ZIKAMILIKE. WAKATI WA PINDI ZA BILA MALIPO DAU X HUBAKI SAWA NA Spin ILIYOWASHA BONSI.	TRYK SPIN-KNAPPEN FOR AT STARTE DEN GRATIS SPIN-BONUS OG SPIL AUTOMATISK, INDTIL ALLE GRATIS SPINS ER UDFØRT. UNDER GRATIS SPINS FORbliver INDSATSET X DET SAMME SOM DET SPIN, DER UDLØSTE BONUSSEN.	กดปุ่มหมุนเพื่อเริ่มโบนัสหมุนฟรีและเล่นโดยอัตโนมัติจนกว่าการหมุนฟรีทั้งหมดจะเสร็จสิ้น ในระหว่างการหมุนฟรี เดิมพัน X จะยังคงเท่ากับการหมุนที่กระตุ้นโบนัส	TEKAN TOMBOL PUTAR UNTUK MEMULAI BONUS PUTARAN GRATIS DAN MAINKAN SECARA OTOMATIS HINGGA SEMUA PUTARAN GRATIS SELESAI. SELAMA PUTARAN GRATIS, TARUHAN X TETAP SAMA DENGAN PUTARAN YANG MEMICU BONUS.	NHẤN NÚT QUAY ĐỂ BẮT ĐẦU TIỀN THƯỞNG VÒNG QUAY MIỄN PHÍ VÀ CHƠI TỰ ĐỘNG CHO ĐẾN KHI HOÀN THÀNH TẤT CẢ CÁC VÒNG QUAY MIỄN PHÍ. TRONG KHI QUAY MIỄN PHÍ, CƯỢC X VẪN GIỐNG VỚI VÒNG QUAY KÍCH HOẠT TIỀN THƯỞNG.	Combos diversos, ganhe prêmios para qualquer combinação!	스핀 버튼을 눌러 무료 스핀 보너스를 시작하고, 모든 무료 스핀이 완료될 때까지 자동으로 플레이됩니다. 무료 스핀 중에는 베팅 X가 보너스를 발생시킨 스핀과 동일하게 유지됩니다.	အခမဲ့ လှည့်ခြင်း ဘောနပ်စ် စတင်ရန် ခလုတ်ကို နှိပ်ပြီး အခမဲ့ လှည့်ခြင်း အားလုံးကို ပြီးမြောက်သည်အထိ အလိုအလျောက် ကစားပါ။ အခမဲ့လှည့်ခြင်းများအတွင်း Bet X သည် ဘောနပ်စ်ကိုအစပြုသည့်လှည့်ခြင်းကဲ့သို့ပင် ဆက်လက်ရှိနေပါသည်။		
